5.00000E-03	3.410E+02	3.070E+02
6.00000E-03	2.100E+02	1.919E+02
8.00000E-03	9.642E+01	8.965E+01
1.00000E-02	5.194E+01	4.867E+01
1.50000E-02	1.651E+01	1.546E+01
2.00000E-02	7.255E+00	6.692E+00
3.00000E-02	2.313E+00	2.002E+00
4.00000E-02	1.077E+00	8.405E-01
5.00000E-02	6.311E-01	4.298E-01
6.00000E-02	4.311E-01	2.512E-01
8.00000E-02	2.674E-01	1.137E-01
1.00000E-01	2.048E-01	6.741E-02
1.50000E-01	1.491E-01	3.681E-02
2.00000E-01	1.278E-01	3.112E-02
3.00000E-01	1.067E-01	2.944E-02
4.00000E-01	9.437E-02	2.933E-02
5.00000E-01	8.570E-02	2.920E-02
6.00000E-01	7.905E-02	2.892E-02
